"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2015M01","Liechtenstein","Total","Total","From 35 to 64 years","Asylum applicant","Person","0"
"2015M01","Liechtenstein","Total","Total","From 35 to 64 years","First time applicant","Person",":"
"2015M01","Liechtenstein","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Liechtenstein","Total","Total","65 years or over","First time applicant","Person",":"
"2015M01","Norway","Total","Total","Less than 14 years","Asylum applicant","Person","80"
"2015M01","Norway","Total","Total","Less than 14 years","First time applicant","Person","75"
"2015M01","Norway","Total","Total","From 14 to 17 years","Asylum applicant","Person","85"
"2015M01","Norway","Total","Total","From 14 to 17 years","First time applicant","Person","85"
"2015M01","Norway","Total","Total","From 18 to 34 years","Asylum applicant","Person","300"
"2015M01","Norway","Total","Total","From 18 to 34 years","First time applicant","Person","275"
"2015M01","Norway","Total","Total","From 35 to 64 years","Asylum applicant","Person","135"
"2015M01","Norway","Total","Total","From 35 to 64 years","First time applicant","Person","130"
"2015M01","Norway","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Norway","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","Switzerland","Total","Total","Less than 14 years","Asylum applicant","Person","365"
"2015M01","Switzerland","Total","Total","Less than 14 years","First time applicant","Person","350"
"2015M01","Switzerland","Total","Total","From 14 to 17 years","Asylum applicant","Person","90"
"2015M01","Switzerland","Total","Total","From 14 to 17 years","First time applicant","Person","90"
"2015M01","Switzerland","Total","Total","From 18 to 34 years","Asylum applicant","Person","825"
"2015M01","Switzerland","Total","Total","From 18 to 34 years","First time applicant","Person","760"
"2015M01","Switzerland","Total","Total","From 35 to 64 years","Asylum applicant","Person","280"
"2015M01","Switzerland","Total","Total","From 35 to 64 years","First time applicant","Person","245"
"2015M01","Switzerland","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Switzerland","Total","Total","65 years or over","First time applicant","Person","5"
"2015M02","European Union (28 countries)","Total","Total","Less than 14 years","Asylum applicant","Person","15 275"
"2015M02","European Union (28 countries)","Total","Total","Less than 14 years","First time applicant","Person","14 090"
"2015M02","European Union (28 countries)","Total","Total","From 14 to 17 years","Asylum applicant","Person","4 890"
"2015M02","European Union (28 countries)","Total","Total","From 14 to 17 years","First time applicant","Person","4 595"
"2015M02","European Union (28 countries)","Total","Total","From 18 to 34 years","Asylum applicant","Person","37 765"
"2015M02","European Union (28 countries)","Total","Total","From 18 to 34 years","First time applicant","Person","34 935"
"2015M02","European Union (28 countries)","Total","Total","From 35 to 64 years","Asylum applicant","Person","14 075"
"2015M02","European Union (28 countries)","Total","Total","From 35 to 64 years","First time applicant","Person","12 025"
"2015M02","European Union (28 countries)","Total","Total","65 years or over","Asylum applicant","Person","530"
"2015M02","European Union (28 countries)","Total","Total","65 years or over","First time applicant","Person","480"
"2015M02","Belgium","Total","Total","Less than 14 years","Asylum applicant","Person","420"
"2015M02","Belgium","Total","Total","Less than 14 years","First time applicant","Person","270"
"2015M02","Belgium","Total","Total","From 14 to 17 years","Asylum applicant","Person","130"
"2015M02","Belgium","Total","Total","From 14 to 17 years","First time applicant","Person","110"
"2015M02","Belgium","Total","Total","From 18 to 34 years","Asylum applicant","Person","720"
"2015M02","Belgium","Total","Total","From 18 to 34 years","First time applicant","Person","475"
